Rank,DMA,TV Homes,% of US
162,Idaho Fals-Pocatllo (Jcksn),101030,0.094
163,Missoula,100830,0.094
164,Abilene-Sweetwater,100790,0.094
165,Yuma-El Centro,99710,0.093
166,Bluefield-Beckley-Oak Hill,98530,0.092
167,Hattiesburg-Laurel,96000,0.09
168,Billings,91950,0.086
169,Rapid City,86610,0.081
170,Lake Charles,85970,0.08
171,Dothan,85140,0.08
172,Utica,84750,0.079
173,Clarksburg-Weston,84680,0.079
174,Quincy-Hannibal-Keokuk,84040,0.079
175,Harrisonburg,84030,0.079
176,"Jackson, TN",78940,0.074
177,Bowling Green,72620,0.068
178,"Alexandria, LA",72530,0.068
178,Elmira (Corning),72530,0.068
180,Marquette,71920,0.067
181,Watertown,71180,0.067
182,Charlottesville,70490,0.066
183,Jonesboro,69470,0.065
184,Laredo,65330,0.061
185,"Bend, OR",63720,0.06
186,Butte-Bozeman,63320,0.059
187,"Lafayette, IN",61520,0.057
188,Grand Junction-Montrose,61390,0.057
189,Lima,56850,0.053
190,Meridian,56790,0.053
191,Twin Falls,55050,0.051
192,Great Falls,53210,0.05
193,Parkersburg,51240,0.048
194,Greenwood-Greenville,50270,0.047
195,San Angelo,50220,0.047
196,Cheyenne-Scottsbluff,48930,0.046
197,Eureka,47550,0.044
198,Mankato,46920,0.044
199,Casper-Riverton,43760,0.041
200,St. Joseph,38780,0.036
201,Ottumwa-Kirksville,37440,0.035
202,Victoria,28500,0.027
203,Fairbanks,27970,0.026
204,Zanesville,27650,0.026
205,Helena,25720,0.024
206,Presque Isle,22340,0.021
207,Juneau,18730,0.017
208,Alpena,14280,0.013
209,North Platte,12010,0.011
210,Glendive,3630,0.003
,NSI Total U.S.,107007910,100
